user_id,cluster_id,subcluster_id,subcluster_name,dominant_sentiment,age_num,city_canon,n_messages,ts_first,ts_last,conversation_text,redaction_applied
01ef5a3bd732,2,21,Apostilles and birth records,Neutral,45.0,Medellín,2,2026-07-28 21:58:08.132,2026-07-28 21:58:08.132,"Quiero saber cómo sacar el pasaporte colombiano siendo venezolano tengo 11 años aquí ya

Buen día me mandaron hacer una radiografía que debo hacer llamar a savia salud  o ellos me llaman",False
01f1990699e4,2,22,Regularising status abroad,Negative,26.0,Cúcuta,2,2026-07-16 02:34:44.793,2026-07-16 02:34:44.793,"Ya tengo mi cedula colombiana pero no encuentro trabajo

Y en Cúcuta?",False
0216c17c32b9,5,51,Food and shelter from organisations,Neutral,31.0,Cúcuta,1,2026-05-06 12:09:57.157,2026-05-06 12:09:57.157,"Quisiera saber que organizaciones están apoyando con refugios , trabajos y ayuda de transporte",False
025cac964aaa,3,30,Biometrics and minors' documents,Negative,17.0,Other,1,2026-07-27 15:59:38.000,2026-07-27 15:59:38.000,Yo hice un proceso para la reexpedición de mi PPT y ya han pasado más de 90 días y no recibo respuesta para retirarlo,False
025f8fa9b2ff,2,21,Apostilles and birth records,Neutral,35.0,Medellín,3,2026-06-23 22:53:27.874,2026-06-23 22:53:27.874,"Tengo una hija de 6 años colombiana pero yo no tengo ningún permiso colombiano solo mi cedula venezolana quisiera saber como puedo estar legal aquí

Si en Medellín

Yo no tengo pasaporte con el único documento que cuento es mi cedula venezolana",False
026d46d84f36,5,50,Health access and registration,Negative,33.0,Ipiales,2,2026-06-22 21:10:25.749,2026-06-22 21:10:25.749,"Amigo porfvor me puedes venir a buscar a rumichaca ando cn mis 3 hijos .. necesito trasportarme asta ipiales.  Porfvor

Para q me puedan ayudar cn un trasporte de rumichaca a [nombre]",True
02764a615e66,3,31,Brigades and paperwork steps,Neutral,28.0,Bogotá,1,2026-03-25 17:17:38.074,2026-03-25 17:17:38.074,Cómo consigo un crédito con PPT,False
02a905d8ae15,2,21,Apostilles and birth records,Neutral,41.0,Bogotá,2,2026-05-13 19:11:18.755,2026-05-13 19:11:18.755,"Para un salvo conducto

Si solo tengo cédula venezolana en ese caso como haría para sacar el salvó conducto",False
0337f971aa05,2,21,Apostilles and birth records,Neutral,40.0,Medellín,3,2026-05-28 21:36:23.167,2026-05-28 21:36:23.167,"Hola tengo una hija de 5 meses de nacida de padre colombiano que documento necesito para llevarla. Venezuela ,ya que yo soy venezolana y soy la mamá

Y que documentos necesito para darle la nacionalidad venezolana a mi hija

Yo tengo el ppt por qué llevo más de 8 años en Colombia sin salir debo pedir algún permiso ? Par poder ir a Venezuela",False
036275add5eb,4,40,Services and integration,Positive,24.0,Bogotá,1,2026-06-15 19:06:58.119,2026-06-15 19:06:58.119,Si está correcto todo,False
0367a28c51cd,2,22,Regularising status abroad,Negative,33.0,Santa Marta,2,2026-06-12 18:48:14.471,2026-06-12 18:48:14.471,"Cual es mi estado migratorio actualmente llevo 8 años y tres meses en colombia

Estado migratorio",False
039db1e8437e,3,30,Biometrics and minors' documents,Negative,53.0,Cúcuta,1,2026-07-15 00:56:05.778,2026-07-15 00:56:05.778,"Si se me perdió el PPT y  la policía no acepta que se pongan denuncias, que debo entregar como justificante de esa perdida",False
04561f6119e9,1,10,Visas and travel abroad,Neutral,30.0,Medellín,2,2026-05-30 14:46:10.144,2026-05-30 14:46:10.144,"Que se necesita para gestionar una cédula de extranjería Y cuánto vale

Cómo puedo gestionar la visa",False
046a939f1579,2,20,Family nationality options,Neutral,25.0,Medellín,6,2026-04-18 12:42:15.903,2026-04-18 12:42:15.903,"Hola quisiera saber cómo arreglar mi situación migratoria para poder obtener mi EPS ya que necesito ayuda con unas terapias de salud mental y EPS para mis niños tambien

Si dame los pasos para solicitar el ppt o el peptutor

Buenos días como estás

Me gustaría saber cómo hago para obtener algún permiso para trabajar siendo venezolana

Si ayúdame. Abuscar una oficina para solicitar el peptutor

Y el centro intégrate me ayudarían con los permisos",False
049ef16eb70d,0,0,Starting a business,Neutral,47.0,Medellín,1,2026-05-28 22:54:38.468,2026-05-28 22:54:38.468,Si por favor,False
0556605b2d5c,5,50,Health access and registration,Neutral,45.0,Medellín,5,2026-04-08 20:52:18.934,2026-04-14 12:56:56.591,"English please

What is the immigrant status and what benefits it brings ?

What is the time ? [nombre] simpler question just for you .

What type of help I can get generally for finding job and taking part of groups

Me necesito telephono numero por directo hablo con persona !!!",True
057777824af7,2,21,Apostilles and birth records,Neutral,33.0,Medellín,1,2026-04-24 12:26:54.565,2026-04-24 12:26:54.565,Yo quiero saber en qué me pueden ayudar para yo llegar a mi país Venezuela no tengo pasaje nada,False
05858340bffd,2,20,Family nationality options,Neutral,29.0,Santa Marta,4,2026-07-10 13:29:56.337,2026-07-10 13:29:56.337,"Cómo hago para tener mi cédula de emigración solo tengo ppt

El pasaporte obligado me lo tengo que sacar en mi país o puedo acá en Colombia

Es que no tengo pasaporte nunca me lo e sacado

Si se puede acá en Colombia?",False
0592352552c0,2,21,Apostilles and birth records,Neutral,42.0,Medellín,7,2026-07-08 16:31:49.334,2026-07-08 16:31:49.334,"Te pregunto?

[nombre] que estoy tramitando la visa v

Y en ese momento que [nombre] salía en 220.000 PS

Entonces me informaron que ahora sale en 660000

Que opción tiene una persona venezolana para regularizarse y que haya llegado el noviembre 2015 y que tenga pasaporte vigente?

Y Que opción tiene una persona venezolana para regularizarse y que haya llegado el noviembre 2025 y que tenga pasaporte vigente?

Con sello",True
061eed24d599,4,40,Services and integration,Neutral,42.0,Medellín,1,2026-05-06 02:09:29.522,2026-05-06 02:09:29.522,Necesito empleo,False
06433e895ee5,3,30,Biometrics and minors' documents,Neutral,32.0,Bogotá,10,2026-05-14 13:37:42.374,2026-05-14 13:37:42.374,"Quisiera saber cuáles son los puntos de atención de migración para el biométrico de los niños

En el cade de la 30 atienden para ppt d ellos niños

[nombre] dónde puedo ir para el trámite biometrico

Si en bogota

Si necesito información en bogota

Cuánto tiempo debe pasar para saber si el ppt está expedido

Pero luego del biométrico  puedo usar el rumv para afiliación de eps

[nombre] eps

Y como hago para saber l certificado del ppt en trámite

Con el certificado del ppt en trámite si puedo hacer lo de la eps",True
066c67042429,1,10,Visas and travel abroad,Neutral,22.0,Cúcuta,1,2026-07-14 23:56:00.395,2026-07-14 23:56:00.395,A qué visa podría acceder para regularme en el pais,False
069b1ec8e19a,5,51,Food and shelter from organisations,Neutral,56.0,Medellín,2,2026-07-10 14:07:23.151,2026-07-10 14:07:23.151,"Necesito ayuda o subsidios para arriendo

Medellín, Aranjuez",False
0728fbb71e81,1,10,Visas and travel abroad,Neutral,37.0,Bogotá,1,2026-05-13 19:05:55.917,2026-05-13 19:05:55.917,Cómo puedo revir una ayuda para madre soltera,False
07328a0c07a6,2,22,Regularising status abroad,Neutral,46.0,Other,1,2026-06-13 15:12:44.346,2026-06-13 15:12:44.346,Cómo puedo legalizarme aquí en Colombia,False
075203619289,5,50,Health access and registration,Negative,38.0,Medellín,2,2026-07-09 01:31:27.037,2026-07-09 01:31:27.037,"Hola soy venezolana tengo 9 años acá hace como un año fui víctima del conflicto armado en el norte de Santander específicamente en tibu  yo hace un año me vine para [nombre] y acá no he recibido ningún tipo de ayuda también hice la portabilidad para acá y ya se me venció y nunka me vieron los especialistas soy paciente oncologica y cardiologo no se a donde me puedo dirigir

Si ya fui a la unidad de víctima y hice la declaración todo lo que vivido y a los dos meses me llamaron pidiendo la carta de defunción de mi hijo menor yo la envié y ahora no se  que más sigue",True
075f884db357,2,20,Family nationality options,Neutral,28.0,Bogotá,7,2026-06-22 23:21:52.380,2026-06-22 23:21:52.380,"Necesito información sobre el permiso de protección temporal (PPT) Para venezolanos que llevamos más de una año en Colombia y no lo tenemos, lo necesito para estar legal aquí y por la salud y los estudios de la menor

Necesito saber que debo hacer para solicitar el PPT para una niña de 5 años

A dónde tengo que ir para solicitarlo, o si hay alguna posibilidad de hacerlo por internet también me gustaría saber los pasos a seguir, ella ya está inscrita en una escuela

[nombre] abierta la página para solicitar el PPT a menores?

Dónde puedo solicitar el rumv para una niña de 5 años

A qué te refieres con otra consulta?

Ah ok muchas gracias",True
07a493b2ddeb,5,50,Health access and registration,Neutral,35.0,Bogotá,10,2026-07-01 17:49:41.662,2026-07-01 17:49:41.662,"Tengo una inquietud el 11 de junio realice el trámite para un salvó conducto me dijeron tengo 30 días hábiles mientras me dan respuesta y hasta ahora nada necesito urgente ya que yo soy una persona que me hace. Diálisis y no cuento con seguro

Entiendo si tengo la atención médica secretaria de salud me cubre pero solo las diálisis no entra exámenes importantes que debo hacerme medicamentos que aparte son de alto costo

Necesito la ayuda en todo ya que no cuento con [nombre] familiar ni puedo trabajar de verdad es trágico todo si puede ayudarme a darme información a dónde puedo pedir ayuda humanitaria se lo agradecería

Muchas gracias pero yo quisiera tener información de que si yo estoy en los 30 días hábiles ya ah pasado casi ya los dos meses de que cancillería no me da respuesta para el salvó conducto que debo hacer

Cómo puedo hacer lo de la tutela

Hola a dónde puedo acudir para planificación familiar necesito retirarme mi dispositivo diu dónde ayuden a los venezolanos sin EPS

Quisiera saber el programa consejo Danés ya no va a funcionar más

Si yo me registré en migración Colombia en el 2022 pero por un error no pude terminar mi registro hoy día ya puedo terminar el registro será que puedo obtener el runt y pueda sacar el permiso permanente

[nombre] de ya tener el salvó conducto como puedo regularizar me acá en el país para obtener una cédula extranjera

Cómo realizó el trámite de una visa xq yo no tengo pasaporte",True
07fdee5981cb,5,51,Food and shelter from organisations,Neutral,60.0,Bogotá,1,2026-04-09 19:52:24.031,2026-04-09 19:52:24.031,Que centros de apoyo hay en Bogotá,False
0809661b0bc4,4,40,Services and integration,Negative,40.0,Santa Marta,2,2026-04-23 03:15:28.431,2026-04-23 03:15:28.431,"No nada

Que regulación hay aquí en Colombia para cubanos",False
084592c4a4fd,2,20,Family nationality options,Neutral,21.0,Medellín,4,2026-07-29 11:24:50.137,2026-07-29 11:24:50.137,"Quisiera saber si por ser emigrante [nombre] puedo obtener el ppt

Entonces que m recomiendas para poder regularizar mi situación ilegal aquí en Colombia

Pero ese proceso es por seguimiento político y yo no estoy pasando por esa situación

La verdad con ninguna de estas me identifico",True
08850488608f,5,51,Food and shelter from organisations,Neutral,40.0,Medellín,2,2026-07-28 22:13:49.106,2026-07-28 22:13:49.106,"Quiero saber que fundación puedo llamar para que lo ayude con los pasaje

En medellín",False
08914801c587,5,50,Health access and registration,Neutral,29.0,Cúcuta,3,2026-08-04 17:49:33.642,2026-08-04 17:49:33.642,"Necesito medicina y regularizarme salí huyendo de mi país

En Cúcuta

Y alojamiento transitorio",False
08db054d54ab,3,30,Biometrics and minors' documents,Neutral,38.0,Medellín,3,2026-07-12 19:18:58.910,2026-07-12 19:18:58.910,"Cómo hago para obtener el ppt para mis hijos menores de edad por primera vez ,si me los traje a colombia en diciembre del año pasado

Si quiero saber cómo puedo saber hacer los trámites

Y si los niños aún no están estudiando como haría en este caso ?",False
0956cfe71306,1,11,Expiring permits and renewals,Neutral,37.0,Medellín,3,2026-07-15 12:34:45.281,2026-07-15 12:34:45.281,"Hola yo tengo salvó el conducto, pero se me venció necesito sacarlo nuevamente pero la página no me deja ingresar

Cuánto dura el proceso de la cita

Cuál sería la página para la cita",False
0982baceacfa,2,20,Family nationality options,Neutral,53.0,Cúcuta,8,2026-07-27 15:52:05.245,2026-07-27 15:52:05.245,"Necesito información para sacarme un PPT

Y si para mí por motivos médicos?

Como hago para sacar CC si mi esposo es colombiano

Después de tener la visa de residente cuando tiempo debe pasar para obtener la nacionalidad?

Y si es por matrimonio?

Mis hijos colombianos pueden darme la nacionalidad?

Cuanto cuesta una visa de migrante tipo M

Cuanto cuesta una visa de migrante para una venezolana?",False
09c51cd233c6,0,0,Starting a business,Neutral,32.0,Other,2,2026-06-22 16:48:44.235,2026-06-22 16:48:44.235,"Para que me ayuden en un emprendimiento

Un negocio de comidas rapidas",False
0a09225c81bb,5,51,Food and shelter from organisations,Neutral,28.0,Other,2,2026-07-15 15:26:54.106,2026-07-15 15:26:54.106,"Bueno yo quería saber sobre la ayuda económica que dan aquí en el país

Cerrito valle",False
0a225e949939,3,30,Biometrics and minors' documents,Neutral,33.0,Bogotá,1,2026-07-27 15:55:19.182,2026-07-27 15:55:19.182,Deseo estar regularizada en colombia tengo desde el 2020 y no e sacado el ppt,False
0a272952bdec,5,50,Health access and registration,Negative,44.0,Medellín,1,2026-07-08 22:42:09.374,2026-07-08 22:42:09.374,Hola necesito q por favor me guíes porque aquí en medellín no tengo [nombre] ni ningún tipo de salud y lo necesito xq últimamentee he sentido mal,True
0a2869cfe664,1,11,Expiring permits and renewals,Neutral,29.0,Cúcuta,1,2026-04-16 19:39:30.152,2026-04-16 19:39:30.152,En que lugar puede recibir orientación para realizar el proceso de renovación de un salvoconducto SC-2,False
0a5b92f117c1,5,50,Health access and registration,Neutral,41.0,Bogotá,3,2026-05-13 19:07:28.793,2026-05-13 19:07:28.793,"Como hago para acceder al sistema de salud ya que tengo 3 meses de embarazo

San blas localidad San cristobal

Si tengo un emprendimiento cuales son mis derechos",False
0a9de4272ae0,5,51,Food and shelter from organisations,Neutral,25.0,Medellín,8,2026-05-28 12:30:52.094,2026-05-28 12:30:52.094,"Trabajos por la alcaldía??

O capacitación gratuitas?

Curso de limpieza, [nombre]?

Información sobre otra capacitación

Ayudas alimentaria por la alcaldía culminaron?

Información sobre otra capacitación?

Ya cerraron las ayudas por migración Colombia?

Por qué?",True
0acb321354fe,3,30,Biometrics and minors' documents,Negative,30.0,Cúcuta,2,2026-05-05 12:47:45.338,2026-05-05 12:47:45.338,"Necesito ayuds por que estoy en el hozpital pero no me atiende por que no tengo ppt

Me deben operar por que tengo las costillas partidas pero no me dan la ayuda",False
0af1b20e629c,5,51,Food and shelter from organisations,Neutral,42.0,Bogotá,8,2026-04-29 00:36:46.030,2026-06-11 14:22:35.754,"Refugios Bogotá

Alojamiento Bogotá

Apoyo a [nombre] en Bogotá

Apoyo a [nombre] en Cúcuta

Empleo Bogotá

Ayuda humanitaria

OIM CÚCUTA

OIM norte de Santander",True
0b00b8d61113,1,10,Visas and travel abroad,Negative,39.0,Medellín,1,2026-07-08 17:13:24.131,2026-07-08 17:13:24.131,Quiero irme a Venezuela pero no tengo pasajes,False
0b28baceb4e4,0,0,Starting a business,Neutral,33.0,Cúcuta,1,2026-07-23 15:00:53.371,2026-07-23 15:00:53.371,Hola me gustaría q me diera información sobre... empleo o emprendimiento.,False
0b98d3009cee,5,50,Health access and registration,Neutral,36.0,Bogotá,79,2026-04-29 20:09:39.960,2026-07-24 20:37:39.450,"Hola, soy venezolana y quiero información sobre registro de nacimiento para mi hijo colombiano

quiero saber la dirección del Integrate en Soacha

integrate en bogota

hay PAO en bogota?

ACNUR en bogota

necesito comedor comunitario en bogota

quiero regularizarme

Quiero saber los servicios de la Cruz Roja

donde puedo vacunar a mi hijo

Materno infantil

[nombre], estoy en Cucuta

No, necesito centro de salud la parada

Y donde me pueden atender si estoy en necocli

necesito dinero

[nombre], [nombre] y medicinas

Necesito saber que asistencia encuentro en soacha cundinamarca

más información

Hola salí

Quiero información de [nombre]

Quiero terminar la conversación

Como hago con una multade tránsito

Quiero saber de multa migratoria

[nombre], estoy en Barranquilla, quiero orientación de cómo acceder a servicios

y cómo puedo hacer para acceder a servicios de salud sexual?

pero estoy en Barranquilla

y debo agendar cita antes de ir a [nombre]?

hay un PAO en Barranquilla?

que información tienes sobre la Personería

Hacer preguntas

[nombre], quiero informacion de Pasto sobre Centro educativo Corazon de María

tienes informacion de a donde puedo ir en Santa Marta para que me orienten

y en Cartagena hay algo?

donde puedo convalidar mi título de estudios en COlombia

hay alguna organizacion que me ayude?

y a nivel nacional?

[nombre] algo?

tienes información sobre a donde me pueden ayudar en Leticia?

y que ayudas me pueden brindar en Bogotá?

QUIERO TERMINAR LA CONVERSACION

quiero saber a dónde debo ir por ayuda en la ciudad donde estoy ahora

necesito ayuda

estoy deprimida

y si quiero ir a Medellín como hago?

qué servicios puedo encontrar en Cúcuta

quiero finalizar la conversación

que servicios hay?

quiero alojamiento en cucuta

quien me ayuda alla

[nombre], quiero comer

necesito alimentos

no estoy en Ipiales

terminar conversación

I need to access to services

I am in Bogotá

[nombre], I do want

medical care, I have cancer

start a new conversation

terminar conversación

necesito ayuda y acceder a servicios

no estoy en Bogotá, estoy en Ipiales, por qué asumes que estoy en Bogotá?

necesito alojamiento

quiero ir desde el sur de Colombia al norte, cómo hago?

quiero saber si hay atencion para venezolanos en Tunja

y [nombre] ayuda a los venezolanos en Cartagena

hay un integrate en Cartagena¨?

entonces por que me dices que no hay quien nos ayude ?

SAMI quien me puede ayudar en [nombre]?

que hace [nombre] en Colombia?

terminar conversación

How can I access to services ?

I want to end the conversation

Where is the Integrate Bogotá?

Dódne queda el integrate de Bogotá?

que organizaciones ofrecen apoyo psicosocial?

pero estoy en Bogotá

necesito inscribirme a la universidad, alguien me ayuda con la convalidación de títulos?

no tengo documentos de mis hijos en colombia ellos son venezolanos

QUE ES EL ETPV

que es el PPT?",True
0bd2b552813a,3,30,Biometrics and minors' documents,Neutral,59.0,Soacha,3,2026-05-25 22:15:45.224,2026-05-25 22:15:45.224,"Quisiera saber si tengo la oportunidad de sacar algo para seguir trabajando

Si para un salvo conducto que deberia tener.

O algun otro papel q me ayude",False
0bd6a1517cd4,1,11,Expiring permits and renewals,Neutral,32.0,Barranquilla,1,2026-06-13 17:20:02.308,2026-06-13 17:20:02.308,Necesito ayuda con el permiso de permanencia,False
0bdeeab02ee1,3,31,Brigades and paperwork steps,Neutral,34.0,Bogotá,2,2026-07-27 15:55:55.273,2026-07-27 15:55:55.273,"Si no tengo ppt y mis hijos si, qué podría hacer?

Y si el ppt de los niños no es de esa fecha, qué puedo hacer?",False
0bfd5269e6c5,0,0,Starting a business,Neutral,35.0,Barranquilla,3,2026-07-09 02:17:27.616,2026-07-09 02:17:27.616,"Quiero estar en talleres de emprendimientos

Estoy en Barranquilla

Si me gustaría como formalizar mi emprendimiento y si estos sirven para venezolanos con ppt",False
0c2e8dcba2eb,1,10,Visas and travel abroad,Neutral,43.0,Medellín,4,2026-05-07 14:20:21.944,2026-05-07 14:20:21.944,"Necesito solocitar mi nacionalidad

Tengo cédula de residente

Cintas preguntas son ?

Mo gracias",False
0c3fc97bd83c,3,30,Biometrics and minors' documents,Neutral,41.0,Medellín,1,2026-07-30 11:28:47.346,2026-07-30 11:28:47.346,Necesito saber si extravié el ppt y ya reporte en migración colombia ahora q debo hacer para q me den uno nuevo,False
0c78f2aad5e5,5,50,Health access and registration,Neutral,22.0,Medellín,5,2026-08-10 02:24:48.248,2026-08-10 02:24:48.248,"Aque hora abren

De medellín a cucuta

Si los niños viajan más de dos beses que pasaria

Hoy si habren

Medellín terminal norte",False
0c9a19b4e12e,2,22,Regularising status abroad,Neutral,50.0,Medellín,3,2026-07-08 18:55:39.814,2026-07-08 18:55:39.814,"No poseo ningún Documento en Colombia para estar legalmente en país Colombia

Como hago para legalizar el documento ya que tengo una hija estudiando en Colombia ya que va presentar la prueba ICFES

Dónde queda la torre elemental de Medellín dirección exacta para presentar la prueba ICFES",False
0cd045787ad8,2,22,Regularising status abroad,Neutral,22.0,Other,2,2026-05-25 20:02:47.947,2026-05-25 20:02:47.947,"¿Que posibilidad hay de que me den algún permiso para poder tener Eps acá en Colombia?.

¿Como es para sacar el salvoconducto de permanencia acá en Colombia?.",False
0d1a2ab1cda3,2,20,Family nationality options,Neutral,30.0,Medellín,6,2026-05-07 12:54:29.529,2026-05-07 12:54:29.529,"Comment je peux acceder a des documents en colombie

En francais

[nombre] a un hopital pour mon fils

Je suis à Cucuta

A cucuta

Et si je viens d'arriver, je peux scolariser mon enfant ? Il a 10 ans",True
0d3864ce7985,3,30,Biometrics and minors' documents,Neutral,37.0,Medellín,3,2026-05-28 23:32:53.591,2026-05-28 23:32:53.591,"Perdí mi ppt que debo hacer

Ya puse el denunció en una notaria

Estoy en san y",False
0d396bbbe637,2,20,Family nationality options,Neutral,40.0,Bogotá,5,2026-07-25 13:30:57.237,2026-07-25 13:30:57.237,"Cómo puedo realizar preregistro RUMV para mis hijos?

Ok pero como hago el proceso de registro para los niños?

Cómo hago para tomar cita para la reexpedicion de ppt? Ya que me robaron

Ok yo no tengo documento, si quisiera solicitar [nombre] para estar regular en Colombia como hago?

Ya tengo el pasaporte sellado.",True
0d4c00f44bf5,3,30,Biometrics and minors' documents,Negative,39.0,Medellín,2,2026-05-28 21:29:13.604,2026-05-28 21:29:13.604,"Cómo resuelvo un problema de registro doble con mi hija de 15 años

Es decir mi hija está estudiando en la secundaria y le piden el ppt intenté hacerlo por la web y me arrojo error fui a intégrate y ellos me hablaron de error como resuelvo ese error",False
0d79522d75ab,5,50,Health access and registration,Neutral,47.0,Bogotá,8,2026-05-14 16:37:00.782,2026-05-14 16:37:00.782,"Donde puedo solicitar servicios de empleabilidad sin ser rechazada por se Venezolana tengo ppt

Bogotá localidades bosa

Bueno necesito emplearme urgente tengo una guía menor con discapacidad múltiple tenemos ppt y ella tiene certificado de discapacidad. Tengo 2 meses desempleada y ya no tengo recursos para sostenernos necesito un empleo urgente

[nombre] que ya no existían asistencia humanitaria ya que he ido a varios lugares incluyendo a Cruz Roja y me han dicho que no hay.

Orientale  con asistencia humanitaria por favor o apoyo adicional

Asistencia humanitaria para migrantes venezolanos

Necesito información sobre empleabilidad al migrante

Necesito orientación sobre cómo. [nombre] mi hija de vida y acceder a capacitaciones",True
0de98070fca2,5,50,Health access and registration,Neutral,26.0,Ipiales,4,2026-07-28 03:59:59.644,2026-07-28 03:59:59.644,"Refugio en Ipiales

¿Cómo puedo sacar un ppt en Ipiales?

¿Dónde dan atención médica a migrantes en Ipiales?

Dónde puedo recibir la tarjeta de alimentación?",False
0dedc06a8597,5,50,Health access and registration,Negative,62.0,Cúcuta,2,2026-07-15 22:29:43.300,2026-07-15 22:29:43.300,"Tengo problema de salud que requiere urgencia

[nombre] a intégrate y me dan solo opción a visa y no tengo recursos para eso mi emergencia es cirugía aurisma en la aorta abdominal",True
0e39f120f47d,1,10,Visas and travel abroad,Neutral,32.0,Medellín,2,2026-06-16 22:25:52.498,2026-06-16 22:25:52.498,"Que me ofre para mi [nombre]

Me puedes orientar para acceder a los servicios",True
0e4de81613cf,0,0,Starting a business,Neutral,26.0,Bogotá,1,2026-05-13 22:35:06.477,2026-05-13 22:35:06.477,Quisiera saber qué tipos de ayudas me pueden ofrecer para emprendimientos,False
0e62967fd27d,4,40,Services and integration,Neutral,41.0,Soacha,2,2026-06-22 16:54:45.689,2026-06-22 16:54:45.689,"Que vacantes hay

En Soacha",False
0eab3fd26823,5,51,Food and shelter from organisations,Neutral,34.0,Cúcuta,3,2026-07-11 04:08:51.651,2026-07-11 04:08:51.651,"Quiero saber si están dando ayudas en Cúcuta

Soy migrante, por salud no puedo trabajar

Ayuda económica",False
0eceb4e2c434,5,52,Single mothers seeking economic support,Neutral,29.0,Medellín,3,2026-05-30 12:52:32.216,2026-05-30 12:52:32.216,"Tengo 4 niños horita no tengo un trabajo estable y de verdad quiero que me ayuden con un arriendo para comprar comida

Y si me quiero ir a Venezuela y no tengo pasaje donde puedo solicitar ayuda

Ayudas humanitarias en Ecuador hay",False
0f074ab46d1e,2,21,Apostilles and birth records,Neutral,46.0,Medellín,4,2026-07-08 16:25:21.187,2026-07-08 16:25:21.187,"Quisiera sacarme mi visa o cédula de extranjería

Pero soy venezolana como hago en ese caso?

No tengo pasaporte de ningún tipo si me la sacan?

Y para la cédula de extranjería debo tener primero la visa?",False
0f4d0aadbeb7,2,21,Apostilles and birth records,Neutral,24.0,Medellín,2,2026-05-29 13:43:59.660,2026-05-29 13:43:59.660,"Que precio tiene  la apostilla y la legalizacion de acta de nacimiento aquí en Colombia

Consulado de Venezuela en Medellín",False
0fb335dc5958,5,50,Health access and registration,Neutral,49.0,Medellín,4,2026-03-26 16:02:33.492,2026-03-26 16:02:33.492,"Talleres de esparcimiento gratuitos

Talleres gratuitos

Talleres presenciales gratuitos en Medellín

Talleres gratuitos presenciales de gastronomía en Medellín",False
0fc6850ce612,5,52,Single mothers seeking economic support,Neutral,43.0,Barranquilla,3,2026-08-06 16:26:48.637,2026-08-06 16:26:48.637,"Soy madre soltera de una niña de 5 años estoy sin trabajo no tengo para la comida ni para nada necesito ayuda

Yo recibí ayuda de [nombre] hace 1 un año

Estoy sin trabajo y quiero emprender trabajar o hacer algo por mi niña por favor",True
10362a778226,5,50,Health access and registration,Neutral,28.0,Cúcuta,6,2026-07-09 00:17:35.957,2026-07-09 00:17:35.957,"Será que me pueden ayudar en el sistema de salud de acá para realizarme unos exámenes tengo lupus eritematoso y no cuento con los recursos pará realizarme los y en Venezuela son muy costosos y mi familia no han podido ayudarme

Si puede ayudar a buscarla

Ya después inscrita en el Sisben como puedo hacer para que me realizen los exámenes

Si que eps me recomienda

Si me puede enviar la dirección

En el Sisben me pueden agregar con documentos venezolanos es que no tengo PPT",False
