message_id,human_label,model_label
6302a7918a3660a3,neutral,neutral
3ef7599ebf4f3f8b,neutral,neutral
2e506e3f3e48f4f3,neutral,neutral
6d1a81d5e7c5bb5f,neutral,neutral
758b0ac440086081,fear,neutral
29db4906dd9e801d,joy,joy
e0d84fc70f512bb2,joy,joy
4b41c03419cb5f2e,neutral,neutral
71e9efdb2e92b0ae,neutral,neutral
07a506f46efa46fa,neutral,neutral
561df2ff7811149d,sadness,sadness
5a165694463daf35,anger,anger
1a59048f10c50115,joy,joy
1d6c73b488c76a1e,neutral,sadness
4e16e66882abc843,neutral,neutral
16636bd7a37c491c,neutral,neutral
19d6ab13676ae344,neutral,joy
6f4fd5e61ab098bc,neutral,sadness
1133db62c5d51217,anger,anger
1540b78d1d96e306,joy,joy
2ceb70e73563a919,sadness,sadness
1280cd18544b9234,anger,anger
0eebd6f47de6a777,fear,fear
78d567431dbce48e,neutral,neutral
3be5307b37527ca8,sadness,sadness
84e0b86be97b4a15,neutral,neutral
fb28a6798d55d152,neutral,neutral
335ce456997b7a58,fear,anger
5a57486e06a36f33,neutral,neutral
79390ec1c3078051,neutral,neutral
3f7e827b17df72f9,sadness,neutral
9b0e7fc35dcbf9d0,sadness,fear
58e759daba04ac66,sadness,sadness
e7224f4d7c92a9ef,neutral,neutral
e4ab77b6da7d2eac,neutral,fear
5949391e6cb9a1a9,neutral,sadness
6e9b33f9dad74cf8,neutral,anger
95cd07fd5f1ec275,sadness,sadness
d04342ca116e56e9,sadness,sadness
42dc81841cc1f567,sadness,fear
f356af45e3684103,neutral,neutral
2d8b9e32d92e4054,fear,neutral
74622c5edbd1d335,neutral,joy
3b6fa38b74f7d2e0,joy,joy
038755a94bcf24ff,sadness,sadness
973eb13569b7faab,sadness,sadness
7c4959b565af7560,neutral,neutral
174ed73a2cfaf727,neutral,neutral
0e1e0a025918b834,neutral,neutral
bee4c72a038fecd8,neutral,neutral
2f227294caca23b2,neutral,neutral
ac7ffdf4fc2206dc,neutral,neutral
644fe12997229d48,anger,anger
71c597af5d5e1f37,neutral,anger
3800cddd1bc808fa,neutral,neutral
2ec69964dacaa6fb,joy,joy
7bcd507cede26c88,anger,neutral
46058b42a641edfb,neutral,neutral
78c18b60d0445120,joy,joy
8a49b34202d24ce2,neutral,neutral
9b5b33e56302fca1,neutral,neutral
f470f81129a6101b,joy,joy
cc74c80fd57a65a4,neutral,neutral
2ac21c960f1537dd,sadness,anger
16c642e03bad644e,neutral,neutral
b1abbba34a911fc5,neutral,neutral
7138652929949ebc,neutral,neutral
a7d8fa01183dad3d,neutral,neutral
fac91794ca6f496d,neutral,neutral
16bd34de16467c15,neutral,neutral
5356056134d5952a,neutral,neutral
9461c8bf6c2396be,neutral,neutral
b5aef005dfbb1f4f,neutral,neutral
8b35dbd0254dc5d5,neutral,neutral
f6c435e4b077a3e3,neutral,neutral
b9654c4a5abf069f,neutral,neutral
2c0023e526f5f5ba,neutral,neutral
f4a3543c06d48656,sadness,neutral
5e630011d3eb90e5,neutral,neutral
bf2078213444fa76,joy,neutral
85c614d14ce2b2f5,neutral,neutral
2085402a9f7f7883,neutral,neutral
0e57dd34a031c9ca,neutral,neutral
bccd8b364ff0b04d,neutral,neutral
45d4aeabf9c53c9a,neutral,neutral
069c18a10712ab16,neutral,neutral
d56f7b09ed5f4ecb,neutral,neutral
ed79a92bbd0aa16f,neutral,neutral
14467dd9dafd1ac2,neutral,neutral
e39b898c014a777c,neutral,neutral
bbf14d2e6b27a4a5,neutral,neutral
3ed53628c85553f5,neutral,neutral
f3686ec4bd411670,neutral,neutral
815b91a24a378067,neutral,neutral
5c494e1b2e912837,neutral,neutral
ce5322fde124f7e7,neutral,neutral
b4524a2b4efda5a9,neutral,neutral
a3d440230993972a,neutral,neutral
1ba3e86fd5c36628,neutral,neutral
4e642d40d7e1a71b,neutral,neutral
df6ea01693abe86b,neutral,neutral
a144f064493465f1,neutral,neutral
eab2904a9edf1c55,anger,neutral
7cfff544f88eb536,neutral,neutral
441517e38073dc63,neutral,neutral
950a6d89d7feec7c,neutral,neutral
b3e9b7eb2ca03153,neutral,neutral
624d7c1d56234772,anger,neutral
c9524a3ed4f696ca,neutral,neutral
08547a1fcfb7e9be,neutral,neutral
bae87c66fc97aab5,neutral,neutral
be7c11c9c6cb93d5,neutral,neutral
90dac27c0e5f3598,fear,neutral
60a05ab2b3c11f15,neutral,neutral
eaa68af4700f86eb,neutral,neutral
5a46c11caffa7f1d,neutral,neutral
48ae319e309c943e,neutral,neutral
de0ef5fce16445dd,neutral,neutral
976418db90647c85,neutral,neutral
d9f5af857f6f8583,neutral,neutral
91cc2e178f39d90f,neutral,neutral
5751a34747081f69,neutral,neutral
8369911472901bf0,neutral,neutral
557e6c991f42ef73,neutral,neutral
cd6ca0ef686d618a,neutral,neutral
e2ae3fca5b02dcc7,neutral,neutral
67c620ebc9ea9fc6,neutral,neutral
4367a2486b656c3c,neutral,neutral
03fa0084a52bd908,neutral,neutral
29aa736212db9567,neutral,neutral
ffea066199754ad4,neutral,neutral
3e8ba9403dbe3719,neutral,neutral
b1b2bd052a6cc6d4,neutral,neutral
8dc92529e3f960c0,neutral,neutral
158e6118f4f5baec,neutral,neutral
9385f633ef652abc,fear,neutral
cb1bf40e361320ba,neutral,neutral
1bc0643b2d3408ae,sadness,neutral
7bbf948d6473fd32,neutral,neutral
63ffd5f46c02c77a,neutral,neutral
23faca9de13bc35d,neutral,neutral
4f96073a4b384bf2,neutral,neutral
3d8e9039d1f94639,neutral,neutral
27383a753b95621e,neutral,neutral
88dcf295baa00f8f,neutral,neutral
2798300c61b6b316,neutral,neutral
1e3acadb0530603c,neutral,neutral
32777fe1f8b31480,neutral,neutral
e3b887c9d613a36b,neutral,neutral
797c03a595b3b316,neutral,neutral
faaa4b4471b329e7,neutral,neutral
d96b2d788528529b,neutral,neutral
c46a281fe3e35b21,neutral,neutral
de1990d610ba2aa9,neutral,neutral
66dbe296a605ec41,neutral,neutral
7158e4091518562c,neutral,neutral
185d99f6e3d76457,joy,neutral
2157b9631a6f1e36,neutral,neutral
0fd9cb545fc03f7c,neutral,neutral
631c14056e31ca56,neutral,neutral
ce705a2690c12cc5,neutral,neutral
79e94ed805b27f71,neutral,neutral
3ec8106b0250865c,neutral,neutral
501d8a97bdb9af08,neutral,neutral
6c70cdbcdd8685fc,neutral,neutral
3c8fc7aab4de10f6,neutral,neutral
7dc730125911850e,neutral,neutral
73180ced70459471,neutral,neutral
09ac6d1543d8a3d1,neutral,neutral
34f3c68bd0135531,neutral,neutral
260e02ea2806002b,neutral,neutral
cc1f4efbc3b1f9cb,neutral,neutral
f840b40e0e71c623,neutral,neutral
3a0291c7eb0a30bc,neutral,neutral
1cf8b3186ae24a15,neutral,neutral
3a86ed476255e8eb,fear,neutral
34030e016aabd55a,neutral,neutral
e44e13aa8664b868,neutral,neutral
af562d33af8156ad,neutral,neutral
52a56a32d78e9a95,neutral,neutral
0d0a5e6a248751f6,neutral,neutral
901040520c0bb0de,neutral,neutral
a04954852bf80bab,neutral,neutral
14764621221adce0,neutral,neutral
7e515a25c221d838,neutral,neutral
748a1c69512a95cd,neutral,neutral
15eef21698672d28,neutral,neutral
5ded4d655c0e3485,neutral,neutral
ea6c4e959b1f370e,neutral,neutral
a0787df2b56e7974,neutral,neutral
1b23f637212d8369,neutral,neutral
eaf512ca8276417c,neutral,neutral
35bf03b8d3bccb23,neutral,neutral
ee6e49d624a56386,neutral,neutral
e366e2a8a9eacdc3,neutral,neutral
6fdb79d4d53b0bba,neutral,neutral
d2479984e2826191,neutral,neutral
b34944d42285dee7,neutral,neutral
514890d6e352465f,neutral,neutral
677ac7de7d80e5c4,neutral,neutral
cac9e3442d74bb3e,neutral,neutral
e03320b42361d90c,neutral,neutral
34c32acf65f656cc,neutral,neutral
3df616c9081afff0,neutral,neutral
b542f152217bba43,neutral,neutral
6a1269b13aaf7bd7,neutral,neutral
c8a8d45837512747,neutral,neutral
ce3da9a103d67f3b,fear,neutral
9fbf4753f0442e1a,neutral,neutral
dcefaee68539b418,neutral,neutral
287bd47aaa7fae17,neutral,neutral
2ce411f3f1c0f036,neutral,neutral
f9bc8c7baa9dd9fc,sadness,neutral
3eb72ab70c4c31a3,sadness,neutral
35583d7bc8149279,neutral,neutral
26e3afb6b6264cd9,neutral,neutral
20ea8a7a9947df35,neutral,neutral
7de3e35e4f40850f,fear,neutral
9bec79f1110736ba,neutral,neutral
6d65fdd8469705c4,neutral,neutral
831478bc4a81113a,neutral,neutral
9941383da4919478,neutral,neutral
d1feadd87d4d1d1f,neutral,neutral
cbf9a4b982921bf5,neutral,neutral
1e82b4ecdf5df0d7,neutral,neutral
5a8d9870d9fd06c2,neutral,neutral
a84033d8402d7652,sadness,neutral
99363a7736976663,neutral,neutral
9f4ab04902017451,neutral,neutral
183319c58997a7b4,neutral,neutral
0392e777ce31bd87,neutral,neutral
f15d868370b57bd3,neutral,neutral
dec0f735920e6360,neutral,neutral
071072501a064930,neutral,neutral
9672f62f73abde73,neutral,neutral
53dddede96e5b615,neutral,neutral
513d1eaaa030c345,neutral,neutral
281cce5fd1900ed4,neutral,neutral
b94e2e2d1e71bf81,neutral,neutral
e4f01074d8b971eb,sadness,neutral
d34472fab5cf6dd6,neutral,neutral
4026af773ba89b6c,neutral,neutral
785990c4867cc966,neutral,neutral
708b891655480699,neutral,neutral
49f68d3b7b05da9b,anger,neutral
ed084f67fbf69c9f,sadness,neutral
a8b88739c491f7e7,neutral,neutral
a6f58d45f15707e9,neutral,neutral
2dceedd97af21c76,neutral,neutral
540b57b455886a8a,neutral,neutral
0149c235a5fd8a91,neutral,neutral
61aacd534942a488,sadness,neutral
43372198201577b3,neutral,neutral
998e72842561e7ab,neutral,neutral
11d05071f340a4eb,neutral,neutral
3ccf156ac8d8cbc1,neutral,neutral
ce27c4bc1daa463d,neutral,neutral
ce4a1dfd181619f5,neutral,neutral
56c9ebc6031d2a80,neutral,neutral
1179baab39ea3d39,neutral,neutral
99a52676d2051129,neutral,neutral
b9bb94e1f0fae716,neutral,neutral
8b3e19424eb3b26c,neutral,neutral
d3fd1af30f2adbe0,neutral,neutral
fd995c4625d209dd,neutral,neutral
fb7fc94793e10189,neutral,neutral
2e95c3080d02bcc7,neutral,neutral
eb7e588f64e921a9,neutral,neutral
39a01dde065e87e0,neutral,neutral
d35a1692df478cda,neutral,neutral
eb32f21b47d352a1,neutral,neutral
b46d5d8c93099f46,neutral,neutral
3549ac17030a5456,neutral,neutral
bed4aae11aeb7b34,neutral,neutral
7a7dd5abf0a0fd7b,neutral,neutral
7567a60e5e49e049,neutral,neutral
f0ec974964004824,neutral,neutral
4a7845649bacc0e9,neutral,neutral
0d40ea0297197288,neutral,neutral
79207c376a550b66,neutral,neutral
e7e3fb836e5eec01,neutral,neutral
f983c2bf0775ab3d,neutral,neutral
604a099dfccf2043,neutral,neutral
f47ecc3f719eb497,neutral,neutral
c10bda0658f61034,neutral,neutral
fdf94d32f44adc2c,anger,neutral
7233295975179ede,neutral,neutral
10957dd0a270e07d,neutral,neutral
d7921837a96992ba,neutral,neutral
983bae89343dfd88,neutral,neutral
7a06af8d177f4a47,neutral,neutral
05487f8f13008d32,fear,neutral
e3a09711b5d0de96,neutral,neutral
fe8a67bb725c37c3,sadness,neutral
439fdaffd7f76cd1,neutral,neutral
7616ec04de0a22ff,neutral,neutral
37a11211951f6a8e,neutral,neutral
e3c1633ea42dc2aa,neutral,neutral
2cb2e7014543352c,neutral,neutral
85855ba7d7c0b07f,neutral,neutral
4b326d9a6a52c4d7,neutral,neutral
03591497d968a49f,neutral,neutral
2e2d0542b45768de,neutral,neutral
a40f09c61ffa327f,neutral,neutral
d295c009c42ec5c7,neutral,neutral
cc367081856e23ed,neutral,neutral
df79031337247581,neutral,neutral
78461508e81d51e2,neutral,neutral
d988ca1e61355052,neutral,neutral
718e5329014224e8,neutral,neutral
24bfe056970c8105,neutral,neutral
d6f473edd5253b86,neutral,neutral
5cdad3ec68c38464,neutral,neutral
089810a59677ea1e,neutral,neutral
71d310f4beb7e536,neutral,neutral
